Box,water_amt,germinated
Uncovered,1,22
Uncovered,1,25
Uncovered,1,27
Uncovered,1,23
Uncovered,2,41
Uncovered,2,46
Uncovered,2,59
Uncovered,2,38
Uncovered,3,66
Uncovered,3,72
Uncovered,3,51
Uncovered,3,78
Uncovered,4,82
Uncovered,4,73
Uncovered,4,73
Uncovered,4,84
Uncovered,5,79
Uncovered,5,68
Uncovered,5,74
Uncovered,5,70
Uncovered,6,0
Uncovered,6,0
Uncovered,6,0
Uncovered,6,0
Covered,1,45
Covered,1,41
Covered,1,42
Covered,1,43
Covered,2,65
Covered,2,80
Covered,2,79
Covered,2,77
Covered,3,81
Covered,3,73
Covered,3,74
Covered,3,76
Covered,4,55
Covered,4,51
Covered,4,40
Covered,4,62
Covered,5,31
Covered,5,36
Covered,5,45
Covered,5,39
Covered,6,0
Covered,6,0
Covered,6,0
Covered,6,0
